Total Customers Served,Max Wait Time,Mean Wait Time,Max Idle Time,Min Idle Time,Mean Idle Time,Max Queue Length,Mean Queue Length,Customers Left
54,4.9,0.62,30.34,0.8,9.87,5,0.57,14
54,3.97,0.49,41.76,0.23,8.56,2,0.13,7
72,4.23,0.82,24.97,0.2,5.3,4,0.31,12
55,4.92,0.83,30.31,0.04,7.7,2,0.2,7
54,3.72,0.7,31.97,0.11,8.38,1,0.04,2
72,4.79,0.57,41.15,0.04,6.28,5,0.38,11
54,4.86,0.87,22.68,0.21,7.84,3,0.28,9
73,4.62,0.7,21.86,0.02,5.93,3,0.32,11
47,4.94,0.56,33.98,0.02,8.75,1,0.09,6
58,4.91,0.99,35.31,0.32,9.93,6,0.76,16
61,4.98,0.83,32.17,0.37,9.35,4,0.36,11
68,4.74,0.82,28.92,0.52,8.57,5,0.68,24
56,3.86,0.47,47.04,0.18,7.68,1,0.02,3
58,4.24,0.65,33.53,0.35,8.84,4,0.4,13
61,4.23,0.78,33.6,0.17,6.73,2,0.2,8
71,4.8,1.13,25.91,0.03,6.79,4,0.62,18
65,4.91,0.99,33.18,0.19,7.98,4,0.46,11
62,4.53,0.7,36.43,0.08,7.91,6,0.61,12
56,4.88,0.85,52.69,0.56,9.2,2,0.14,6
54,4.66,0.72,46.31,0.18,9.36,2,0.22,8
69,4.76,0.89,25.19,0.18,6.83,3,0.26,14
67,4.91,0.63,21.42,0.24,6.76,3,0.33,12
62,4.88,0.72,34.55,0.83,8.62,5,0.48,12
51,4.86,0.91,36.66,0.13,8.76,2,0.25,8
61,4.81,0.67,33.77,0.18,7.51,3,0.21,10
59,4.84,0.54,29.94,0.09,8.01,4,0.36,16
62,4.67,0.97,40.23,0.07,6.33,3,0.29,7
62,4.96,0.87,40.53,0.08,7.38,5,0.45,15
49,4.82,0.51,19.35,0.15,8.57,1,0.04,4
46,4.2,0.8,34.02,0.58,9.93,2,0.17,7
71,4.84,1.09,24.29,0.02,5.85,9,1.17,16
60,4.97,1.02,55.34,0.96,9.4,3,0.35,13
70,4.57,0.61,22.26,0.13,6.11,4,0.54,15
68,3.57,0.58,36.82,0.19,6.65,3,0.37,12
53,4.55,0.81,30.02,0.59,8.8,2,0.15,6
83,4.99,1.05,36.68,0.08,6.36,8,0.95,26
46,3.82,0.29,39.89,0.89,9.33,3,0.15,7
57,4.76,0.87,27.82,0.7,9.23,4,0.46,15
50,4.71,0.83,32.59,0.06,8.67,1,0.12,8
55,4.96,0.7,26.74,0.16,8.93,3,0.25,9
48,4.67,0.74,41.65,0.11,9.26,2,0.21,8
70,4.94,0.78,32.4,0.09,6.87,6,0.8,15
55,4.68,0.81,27.14,0.53,9.34,6,0.84,16
59,4.99,0.78,31.47,0.1,7.37,2,0.37,14
60,4.77,0.79,27.74,0.02,7.73,3,0.23,7
55,4.3,0.77,62.35,0.03,7.38,4,0.38,13
54,4.36,0.51,40.63,0.49,8.82,4,0.33,12
51,3.34,0.49,24.0,0.48,8.83,3,0.25,9
56,4.98,1.18,30.75,0.32,10.48,3,0.46,12
75,4.67,1.13,36.47,0.04,8.28,4,0.56,16
62,4.63,1.34,34.89,1.59,11.84,8,1.61,19
58,4.79,0.68,37.24,0.32,8.6,5,0.66,11
56,3.74,0.59,32.41,0.36,8.9,4,0.5,13
46,4.04,0.54,45.61,0.04,10.32,1,0.07,4
46,4.17,0.29,20.3,2.29,10.28,3,0.2,7
65,4.38,0.79,22.58,0.07,7.58,3,0.35,14
54,4.96,0.99,32.7,0.23,10.03,4,0.39,10
68,4.09,0.59,15.22,0.17,4.75,2,0.13,7
54,4.96,0.52,32.35,0.34,9.08,7,0.78,16
67,4.92,0.86,23.11,0.32,7.45,3,0.36,13
55,4.56,0.46,43.48,0.29,8.43,2,0.07,3
52,4.04,0.33,17.2,0.0,8.51,1,0.08,6
67,4.66,0.65,19.58,0.13,6.29,5,0.58,17
62,4.6,0.69,51.62,0.31,8.19,4,0.35,9
50,4.57,0.74,34.88,0.06,9.5,2,0.32,8
61,4.73,1.06,71.68,0.29,9.58,5,0.61,18
56,4.35,0.35,30.34,0.06,7.37,3,0.18,9
59,4.81,1.23,23.58,0.01,7.95,2,0.19,8
53,4.05,0.84,48.98,0.06,9.54,1,0.13,5
56,4.95,0.62,30.67,0.05,8.51,2,0.25,12
49,4.88,0.73,25.35,0.1,8.09,2,0.22,5
67,4.4,0.87,28.88,0.39,6.56,2,0.21,10
67,4.55,0.98,28.25,0.21,7.4,4,0.34,11
60,4.71,0.6,37.42,0.14,7.83,3,0.35,13
64,4.0,0.51,26.63,0.03,6.77,4,0.22,8
75,4.95,1.02,18.09,0.18,6.32,8,0.89,24
72,4.92,0.87,29.08,0.04,6.55,5,0.78,16
61,4.83,0.63,28.06,0.42,8.1,3,0.54,18
53,3.14,0.69,49.56,0.27,9.6,4,0.38,9
51,4.96,0.5,28.3,0.18,8.65,2,0.1,5
62,4.35,0.46,30.16,0.08,6.0,3,0.18,8
54,4.85,1.02,52.19,0.03,9.95,5,0.5,9
62,4.26,0.86,26.75,0.38,7.83,2,0.24,10
54,4.97,0.82,26.87,0.55,9.58,4,0.43,13
53,4.69,0.87,24.67,0.56,9.95,5,0.4,12
66,4.85,1.17,34.4,0.68,10.0,8,1.32,22
68,4.52,0.56,36.09,0.34,6.92,3,0.34,11
54,4.35,0.41,36.67,0.41,9.85,4,0.46,11
59,4.35,0.58,32.01,0.11,7.68,4,0.31,8
68,4.73,0.64,34.28,0.17,5.81,4,0.4,11
52,4.65,0.66,35.16,0.46,8.65,1,0.1,6
63,4.99,1.02,33.26,0.69,7.85,3,0.4,11
75,4.98,1.22,31.73,0.05,7.29,3,0.43,15
42,3.5,0.57,58.03,0.27,10.6,4,0.24,3
70,4.98,0.65,37.44,0.05,7.81,5,0.53,11
66,3.97,0.82,26.78,0.18,6.99,3,0.24,10
64,4.99,0.86,28.09,0.02,6.87,3,0.48,17
59,4.46,0.64,24.85,0.2,6.05,2,0.1,8
55,4.27,0.75,31.98,0.02,8.79,2,0.22,10
51,3.21,0.47,54.52,0.55,9.69,3,0.31,12
63,4.31,0.43,17.22,0.34,6.88,2,0.24,15
54,2.87,0.39,29.61,0.08,8.89,4,0.28,12
58,4.97,0.69,26.53,0.93,8.57,4,0.36,7
66,4.96,0.7,24.28,0.36,7.39,2,0.15,9
55,4.22,0.79,25.95,0.12,9.06,7,0.96,10
