Total Customers Served,Max Wait Time,Mean Wait Time,Max Idle Time,Min Idle Time,Mean Idle Time,Max Queue Length,Mean Queue Length,Customers Left
70,4.87,0.81,21.45,0.19,6.34,4,0.47,13
63,4.83,0.99,30.47,0.16,7.56,3,0.27,8
80,4.96,1.2,22.81,0.22,6.43,4,0.74,26
57,4.69,0.53,25.7,1.34,9.27,6,0.84,14
65,4.62,1.11,22.75,0.53,7.91,4,0.71,18
62,4.93,0.87,42.93,0.39,7.64,3,0.34,8
62,3.35,0.5,37.26,0.15,6.99,1,0.11,7
61,4.92,0.84,32.19,0.03,8.12,4,0.52,21
61,3.93,0.66,26.05,0.36,6.6,4,0.49,13
51,4.87,0.71,33.07,0.42,10.88,7,0.78,11
61,4.74,0.48,18.34,0.01,5.82,3,0.16,11
70,5.0,0.94,31.95,0.07,5.66,3,0.34,13
67,4.9,0.77,26.71,0.1,7.91,5,0.67,21
58,4.46,0.64,38.26,0.07,7.98,2,0.16,5
60,4.31,0.69,25.41,0.3,7.63,4,0.42,16
54,4.66,0.92,35.5,0.76,10.23,3,0.46,10
69,4.83,0.55,35.39,0.14,6.93,7,0.77,11
69,4.99,1.19,22.39,0.07,6.6,7,0.77,20
56,4.98,0.66,28.17,0.56,8.05,4,0.38,8
54,4.82,0.82,37.53,0.29,10.07,4,0.46,10
60,4.7,0.61,30.51,0.16,7.12,2,0.15,6
59,4.06,0.48,24.15,0.36,7.78,4,0.36,11
74,4.72,0.79,26.0,0.1,6.93,3,0.42,20
63,4.65,0.86,22.55,0.14,7.87,3,0.43,13
54,4.96,0.66,33.73,0.75,10.66,8,1.13,11
69,4.24,0.64,27.33,0.02,6.14,4,0.48,17
51,4.76,0.65,27.68,0.71,10.08,2,0.2,7
57,3.73,0.6,41.74,0.79,9.58,3,0.28,10
66,4.42,0.6,30.43,0.33,6.46,6,0.55,10
67,4.84,0.99,31.11,0.09,6.88,5,0.63,16
65,4.36,0.87,19.41,0.07,7.01,2,0.14,5
63,4.79,1.24,24.23,0.23,6.66,4,0.41,11
61,4.64,0.84,23.97,0.18,6.93,3,0.25,5
77,4.89,1.29,32.81,0.31,7.87,6,1.51,25
57,4.37,0.26,34.49,0.1,6.89,2,0.14,12
65,5.0,1.03,37.34,0.03,8.89,5,0.78,20
57,4.6,0.56,35.33,0.43,8.44,2,0.18,10
54,4.76,0.73,35.18,0.17,8.82,4,0.43,10
72,4.93,0.98,32.26,0.05,6.89,3,0.42,13
60,4.72,0.71,29.97,0.31,9.05,4,0.47,15
59,4.97,0.73,36.43,0.13,8.79,4,0.37,11
68,4.29,0.67,18.99,0.16,6.73,3,0.35,13
61,3.57,0.41,32.81,0.18,6.6,3,0.25,11
61,4.88,0.98,31.19,0.27,7.02,4,0.44,13
62,4.65,0.94,37.81,0.22,8.69,5,0.63,14
60,4.56,0.94,42.11,0.43,8.39,3,0.42,13
69,4.99,1.25,40.4,0.85,7.82,7,0.94,18
41,4.77,0.5,70.23,1.02,13.8,3,0.34,9
53,4.65,0.69,36.96,0.55,9.12,3,0.28,11
54,4.56,0.77,45.16,0.11,8.9,3,0.3,6
62,4.1,0.84,53.5,0.0,8.66,3,0.42,14
53,4.93,0.5,40.79,0.11,7.84,3,0.17,12
61,4.75,0.88,27.38,0.08,8.34,8,0.84,18
58,4.89,1.08,27.46,1.25,8.47,4,0.45,11
60,4.33,0.51,30.25,0.1,7.73,5,0.67,13
