Total Customers Served,Max Wait Time,Mean Wait Time,Max Idle Time,Min Idle Time,Mean Idle Time,Max Queue Length,Mean Queue Length,Customers Left
51,4.36,0.26,56.98,0.28,12.25,1,0.04,1
62,4.48,0.24,44.85,0.35,9.17,2,0.05,2
58,4.01,0.18,26.82,0.4,6.74,0,0.0,0
63,4.97,0.54,23.18,0.59,9.47,6,0.59,7
55,4.51,0.31,55.86,0.26,9.34,3,0.16,4
42,1.84,0.1,41.53,0.01,14.07,0,0.0,1
67,4.98,0.25,24.66,0.0,7.84,1,0.01,1
61,4.21,0.2,30.48,1.18,6.89,1,0.03,1
51,4.52,0.43,31.66,0.5,9.63,2,0.1,3
66,3.28,0.22,27.08,0.3,6.01,1,0.03,0
43,0.0,0.0,44.42,0.11,9.5,0,0.0,3
55,4.97,0.39,28.05,0.29,11.35,1,0.02,0
48,4.56,0.17,69.63,0.19,9.59,1,0.02,1
52,1.2,0.05,42.05,0.05,8.73,0,0.0,0
54,3.32,0.15,37.86,0.03,8.24,0,0.0,0
61,4.49,0.12,27.45,0.06,6.55,1,0.02,1
50,4.76,0.45,50.43,0.57,11.74,1,0.12,2
44,0.27,0.01,28.71,0.31,8.78,0,0.0,0
55,3.71,0.15,29.5,0.18,7.88,1,0.02,1
53,1.03,0.02,34.44,0.07,6.81,0,0.0,0
70,3.96,0.22,17.73,0.31,5.07,1,0.04,3
55,1.94,0.09,35.35,0.46,8.17,0,0.0,0
54,2.6,0.11,24.86,0.08,8.98,0,0.0,0
51,4.56,0.23,30.06,0.38,7.62,1,0.04,1
52,4.23,0.12,42.06,0.37,9.31,1,0.02,1
62,2.6,0.17,30.48,0.43,7.47,2,0.08,5
69,4.57,0.29,55.39,0.14,9.13,1,0.07,3
67,2.72,0.1,25.45,0.21,6.57,1,0.01,3
69,3.83,0.28,25.39,0.18,6.68,2,0.1,1
57,3.47,0.18,51.21,0.08,10.51,1,0.04,2
58,3.25,0.26,34.47,0.7,8.06,2,0.07,1
62,4.69,0.33,41.14,0.47,8.59,1,0.06,3
41,2.96,0.19,46.2,0.14,11.94,2,0.17,4
60,4.81,0.19,30.25,0.87,7.68,3,0.1,1
57,4.84,0.39,27.34,0.87,9.37,1,0.04,1
49,1.91,0.1,31.19,1.2,9.89,1,0.02,2
62,3.95,0.35,23.95,0.04,6.98,3,0.15,4
46,4.01,0.12,24.97,0.83,8.9,0,0.0,0
58,4.26,0.29,20.76,0.11,8.38,2,0.07,3
50,0.0,0.0,39.02,0.78,9.2,0,0.0,0
61,2.37,0.14,53.75,0.11,7.29,1,0.02,0
62,4.9,0.56,38.98,0.45,7.42,2,0.18,2
60,4.05,0.38,46.12,0.02,7.48,1,0.05,1
55,4.79,0.54,32.99,0.15,10.61,2,0.13,1
66,4.88,0.49,33.86,0.21,6.91,4,0.32,7
58,3.4,0.24,32.44,1.31,11.15,2,0.09,2
62,4.96,0.13,41.04,0.2,8.16,0,0.0,0
50,2.48,0.15,38.88,0.76,9.95,0,0.0,1
60,3.95,0.16,28.16,0.03,8.59,1,0.02,2
60,0.34,0.01,25.19,0.32,8.25,0,0.0,1
55,3.13,0.15,28.04,0.52,7.71,0,0.0,0
73,4.74,0.27,22.51,0.36,6.54,1,0.01,0
47,1.68,0.08,32.61,0.88,10.6,0,0.0,0
68,3.79,0.28,20.94,0.3,7.22,1,0.06,1
52,3.64,0.27,41.78,0.38,9.12,2,0.1,1
52,3.11,0.15,31.42,0.07,8.59,0,0.0,0
59,3.71,0.11,30.27,0.33,7.17,1,0.02,2
45,2.86,0.17,38.98,0.09,11.51,1,0.02,1
62,4.34,0.38,22.26,0.47,7.66,1,0.06,1
60,4.19,0.28,38.21,0.2,8.82,1,0.03,1
55,0.0,0.0,25.21,0.14,8.26,0,0.0,0
63,3.91,0.35,32.85,0.13,8.12,2,0.06,3
61,4.61,0.2,27.22,0.06,7.48,2,0.1,5
52,4.72,0.11,28.24,0.14,8.2,0,0.0,1
65,3.92,0.08,26.04,0.02,6.53,0,0.0,0
65,4.56,0.47,30.32,0.22,9.41,4,0.23,7
58,3.59,0.12,28.85,0.09,9.39,0,0.0,0
53,2.61,0.08,38.48,0.1,8.5,0,0.0,0
57,4.44,0.2,29.65,0.32,7.9,0,0.0,0
43,1.84,0.04,37.22,0.06,10.92,1,0.02,2
68,3.85,0.41,35.88,0.31,7.11,5,0.31,6
67,3.97,0.21,22.41,0.25,5.43,2,0.06,0
55,2.53,0.19,58.75,0.29,9.7,0,0.0,0
43,4.16,0.1,57.36,0.0,10.35,0,0.0,0
63,4.65,0.29,21.56,0.02,6.61,0,0.0,0
51,4.24,0.18,24.86,0.18,9.27,3,0.16,2
52,4.63,0.47,40.13,0.97,9.05,1,0.02,1
59,1.36,0.05,38.35,0.28,7.89,1,0.03,2
52,3.92,0.58,39.38,0.13,10.05,2,0.08,0
54,1.49,0.03,29.63,0.07,7.51,0,0.0,1
51,1.06,0.07,58.23,0.25,8.27,0,0.0,0
61,4.79,0.39,38.39,0.28,8.59,1,0.07,1
59,1.64,0.09,26.91,0.12,7.36,0,0.0,0
55,2.91,0.15,49.51,0.19,8.78,1,0.02,1
61,2.53,0.12,52.71,0.03,9.35,2,0.08,5
55,3.61,0.28,30.41,0.01,8.8,1,0.02,2
59,2.19,0.08,40.12,0.24,8.09,1,0.02,1
54,3.16,0.29,36.98,0.16,8.63,1,0.02,1
69,2.79,0.12,23.94,0.27,5.5,1,0.04,3
51,1.16,0.04,39.01,0.02,7.83,2,0.06,2
51,3.61,0.16,30.88,0.06,8.16,1,0.08,1
46,4.94,0.4,48.14,0.03,11.36,2,0.13,1
67,4.48,0.38,20.34,0.63,6.94,1,0.1,2
54,3.1,0.33,30.48,0.51,9.71,1,0.02,0
80,4.58,0.55,16.04,0.58,6.44,4,0.28,8
61,4.53,0.24,36.58,0.15,8.2,1,0.03,1
61,4.74,0.31,27.26,0.0,8.43,3,0.18,2
55,3.22,0.07,40.02,0.34,7.45,2,0.05,3
62,3.76,0.32,33.39,0.14,7.29,2,0.08,2
68,3.53,0.1,24.67,0.2,7.41,3,0.09,3
73,4.31,0.41,18.97,0.07,6.28,3,0.21,5
54,2.08,0.07,28.94,0.04,7.74,0,0.0,0
60,4.7,0.33,32.92,0.12,6.48,1,0.02,0
55,2.58,0.09,32.28,0.39,9.27,0,0.0,1
59,3.64,0.19,19.94,0.01,7.17,1,0.03,1
58,2.76,0.1,15.48,0.14,6.14,0,0.0,1
57,3.92,0.21,24.03,0.41,7.88,0,0.0,2
56,2.78,0.09,30.65,0.51,9.24,0,0.0,0
57,4.82,0.35,24.16,0.53,8.11,2,0.05,2
65,4.23,0.39,33.57,0.12,8.23,3,0.28,8
60,3.49,0.13,27.26,0.16,7.0,0,0.0,1
62,2.43,0.19,44.28,0.63,7.5,1,0.02,0
57,2.03,0.14,41.82,0.03,7.46,1,0.04,1
54,3.75,0.13,35.84,0.01,8.44,0,0.0,0
55,3.16,0.24,26.61,0.13,8.82,2,0.11,3
53,2.14,0.09,54.07,0.98,10.17,0,0.0,0
64,4.23,0.4,54.16,0.1,10.83,2,0.19,3
70,3.64,0.27,25.7,0.01,4.94,2,0.07,2
55,4.57,0.32,30.71,0.41,9.56,2,0.07,2
53,4.77,0.13,23.64,0.62,7.88,0,0.0,1
54,3.05,0.15,45.77,0.12,9.57,1,0.02,2
58,4.61,0.12,26.27,0.03,6.93,1,0.02,1
60,2.05,0.13,27.99,0.06,7.01,1,0.02,0
59,2.62,0.09,23.04,0.02,6.66,0,0.0,0
61,4.52,0.32,28.92,0.12,8.1,1,0.02,0
41,0.87,0.03,42.63,0.74,14.28,0,0.0,1
62,3.82,0.17,20.21,0.17,7.83,2,0.06,3
50,4.82,0.27,31.87,0.75,11.19,3,0.18,3
62,3.53,0.27,24.23,0.57,8.6,2,0.05,1
45,1.5,0.04,40.54,0.36,9.8,0,0.0,0
57,2.73,0.18,43.18,0.67,8.95,2,0.07,4
52,4.11,0.31,57.57,0.29,9.34,1,0.06,1
46,0.62,0.03,43.88,0.1,8.79,0,0.0,0
49,3.95,0.24,41.39,0.46,9.48,2,0.08,2
53,1.87,0.04,41.77,0.57,8.15,0,0.0,1
58,3.88,0.2,24.34,0.07,7.22,1,0.03,1
65,3.74,0.14,26.95,0.19,6.29,2,0.05,3
60,3.13,0.24,18.73,0.11,6.63,3,0.2,4
52,4.96,0.37,31.22,0.03,8.38,5,0.29,1
57,4.14,0.13,38.44,0.65,7.73,1,0.05,2
55,2.35,0.11,23.8,0.08,6.97,1,0.02,2
49,3.48,0.12,24.71,0.48,9.43,1,0.04,1
56,4.6,0.44,28.86,0.05,6.53,2,0.09,0
52,3.91,0.23,35.82,0.56,7.39,3,0.13,4
50,4.86,0.27,38.25,0.41,11.41,2,0.06,1
52,3.52,0.07,35.34,0.18,8.69,0,0.0,1
55,1.42,0.06,52.94,0.31,10.22,1,0.02,1
61,2.0,0.08,19.96,0.22,7.85,0,0.0,1
49,2.27,0.08,31.56,0.63,9.01,0,0.0,0
46,0.32,0.01,33.15,0.07,8.84,0,0.0,1
60,4.25,0.39,44.18,0.0,8.2,2,0.07,1
75,3.73,0.22,18.35,0.06,6.39,1,0.04,3
