Total Customers Served,Max Wait Time,Mean Wait Time,Max Idle Time,Min Idle Time,Mean Idle Time,Max Queue Length,Mean Queue Length,Customers Left
61,5.7,1.24,34.44,0.25,8.34,4,0.51,16
74,5.75,0.94,25.26,0.44,6.75,4,0.5,20
95,5.91,1.37,21.69,0.05,5.61,6,1.06,22
82,5.49,1.17,36.04,0.01,5.43,4,0.45,15
69,4.95,0.81,20.36,0.07,5.5,3,0.3,13
62,4.0,0.57,27.59,0.03,6.87,5,0.35,10
70,5.88,1.23,22.23,0.02,6.31,3,0.37,12
63,5.77,0.57,22.94,0.19,6.6,4,0.29,11
66,5.51,1.48,22.91,0.75,8.77,4,0.59,9
72,5.98,1.0,32.99,0.67,8.2,5,0.9,17
73,5.28,1.36,21.35,0.36,6.72,4,0.75,19
71,5.02,1.01,16.5,0.56,7.0,4,0.65,19
76,5.36,1.04,23.87,0.09,6.21,6,0.75,16
68,4.65,0.77,29.5,0.07,6.44,8,0.75,15
66,5.67,1.39,44.29,0.34,7.5,4,0.44,11
61,5.37,1.21,34.78,0.11,6.82,3,0.48,12
53,5.7,0.69,44.39,0.05,7.65,2,0.13,4
72,5.73,1.06,17.01,0.04,5.45,6,1.04,22
73,5.77,1.32,31.87,0.21,7.11,3,0.45,7
85,5.31,1.2,19.32,0.04,5.25,4,0.47,17
72,5.77,1.09,30.97,0.06,7.45,8,0.92,24
77,5.97,1.25,33.58,0.21,6.69,6,0.88,17
69,5.21,0.81,16.95,0.19,7.19,7,0.8,20
66,5.76,0.76,28.33,0.16,7.31,4,0.58,15
63,5.96,1.27,38.43,0.23,8.57,7,0.75,13
61,5.95,1.32,28.85,0.07,6.83,3,0.44,13
74,4.96,1.02,31.07,0.3,6.51,8,1.23,16
78,5.72,1.17,26.02,0.08,5.99,3,0.46,16
84,5.65,1.42,24.6,0.21,5.98,5,0.76,15
63,5.63,1.4,21.91,0.1,8.21,3,0.37,6
68,5.52,0.6,27.64,0.61,6.77,6,0.68,19
60,5.73,1.0,32.62,0.06,8.53,4,0.53,14
58,5.81,0.78,32.58,0.6,8.06,5,0.45,13
