Total Customers Served,Max Wait Time,Mean Wait Time,Max Idle Time,Min Idle Time,Mean Idle Time,Max Queue Length,Mean Queue Length,Customers Left
66,5.71,1.17,20.3,0.31,7.07,5,0.85,19
66,5.98,1.35,31.88,0.6,7.34,5,0.58,12
71,5.93,0.96,16.77,0.14,5.04,3,0.2,6
73,5.87,1.09,21.69,0.09,6.05,4,0.59,17
90,5.8,1.52,19.64,0.18,4.61,7,1.04,26
66,5.66,1.12,20.58,0.97,6.04,6,0.77,17
84,5.95,0.95,18.97,0.01,6.13,6,0.88,19
58,4.33,0.55,29.59,0.24,7.53,2,0.12,7
76,5.17,1.37,19.94,0.58,6.47,7,0.75,13
70,5.11,0.89,30.62,0.23,7.89,4,0.44,17
66,5.06,1.19,26.31,0.29,6.67,4,0.61,14
62,5.38,0.53,20.26,0.11,6.85,2,0.1,9
68,4.87,0.56,22.06,0.34,5.21,2,0.15,5
71,5.6,1.12,20.14,0.12,5.12,4,0.51,14
57,5.69,1.26,28.23,0.34,8.83,3,0.4,11
63,5.79,0.93,26.1,0.03,7.35,1,0.11,6
74,5.99,1.03,23.95,0.01,5.4,6,0.85,19
74,5.92,1.12,16.57,0.06,5.12,4,0.39,15
69,5.95,0.96,29.12,0.15,5.39,3,0.29,9
68,5.82,1.27,27.85,0.19,6.59,6,0.87,18
74,4.87,0.86,17.93,0.03,5.22,4,0.45,15
72,5.73,0.98,29.47,0.2,6.68,6,0.64,16
58,5.61,1.02,28.2,0.17,8.0,5,0.47,11
85,5.82,1.24,18.4,0.15,5.96,7,1.13,21
74,5.92,1.21,30.09,0.3,7.59,10,1.53,18
68,5.49,0.95,33.45,0.02,5.56,4,0.31,9
43,5.73,0.4,39.72,0.26,9.72,2,0.09,4
66,5.98,1.51,29.06,0.14,7.88,3,0.42,11
78,5.83,1.14,31.72,0.13,6.32,7,1.0,25
81,5.74,1.29,42.66,0.71,7.59,13,1.99,26
72,5.32,1.11,27.8,0.24,9.08,6,0.86,26
68,5.74,1.2,28.92,0.06,7.95,6,1.01,19
69,5.59,0.63,27.31,0.26,5.74,4,0.46,16
57,5.7,0.98,46.68,0.23,8.91,2,0.33,11
83,5.51,0.96,16.26,0.15,4.96,4,0.53,22
82,5.84,1.54,24.92,0.15,6.69,5,1.0,20
53,5.89,1.09,29.74,0.27,8.24,4,0.51,9
59,5.72,1.21,53.21,0.29,9.81,2,0.25,13
67,5.88,1.66,36.72,0.76,7.19,7,1.01,17
68,5.19,1.16,24.35,0.01,6.92,6,1.01,16
67,5.1,1.15,50.3,0.45,10.76,6,0.84,14
61,5.91,0.87,21.44,0.21,5.18,4,0.31,7
66,5.53,0.75,25.11,0.15,7.25,4,0.32,8
64,5.78,0.89,28.49,0.01,6.9,7,0.58,11
67,5.62,0.99,19.77,0.09,6.35,7,0.69,14
69,5.96,1.24,24.89,0.19,6.21,3,0.36,10
72,5.26,1.03,39.02,0.02,6.5,3,0.26,11
68,5.95,0.76,21.25,0.25,6.78,3,0.28,13
67,5.69,1.21,19.48,0.26,7.41,5,0.76,15
46,5.85,0.82,49.75,0.12,10.57,4,0.43,7
82,5.79,1.46,23.86,0.17,6.15,4,0.51,18
60,5.64,1.01,30.93,0.19,7.19,3,0.25,9
58,5.7,0.62,50.94,0.03,6.92,2,0.12,8
91,5.81,1.46,21.04,0.35,4.86,5,0.79,23
67,5.78,0.89,21.59,0.34,6.01,2,0.21,9
77,5.96,1.09,35.37,0.05,6.74,5,0.57,21
57,5.46,0.93,41.52,0.0,8.66,3,0.25,7
67,5.95,1.56,42.96,0.1,8.8,5,0.91,17
66,5.42,0.82,36.09,0.67,7.15,7,0.73,11
66,5.62,0.66,22.5,0.07,5.84,3,0.14,9
84,5.22,0.8,24.65,0.0,5.07,7,1.01,29
76,5.84,1.49,20.0,0.26,6.21,6,1.04,21
85,5.84,1.53,24.39,0.48,6.92,8,1.13,24
58,5.83,0.65,28.64,0.01,6.89,3,0.22,8
76,5.89,1.08,32.94,0.2,6.75,6,0.8,19
76,5.54,1.02,27.97,0.0,5.42,4,0.42,13
64,5.54,0.47,23.98,0.06,5.7,2,0.22,9
69,5.57,1.37,39.75,0.27,7.96,5,0.58,16
73,5.96,1.27,20.88,0.1,6.78,4,0.7,15
72,5.86,1.2,29.04,0.05,8.0,4,0.51,12
75,5.76,1.09,22.98,0.28,6.04,14,2.35,19
65,5.47,1.12,36.28,0.19,8.78,7,0.97,20
78,5.86,1.18,16.94,0.06,4.96,3,0.5,16
69,5.3,1.57,43.75,1.24,9.62,3,0.64,14
72,5.68,0.93,40.09,0.19,7.49,2,0.4,12
73,5.81,1.54,26.26,0.36,7.27,4,0.82,18
63,5.92,0.99,28.89,0.33,7.07,3,0.37,8
52,5.82,0.8,38.51,0.06,9.67,4,0.48,8
62,5.78,1.5,36.18,0.03,9.47,3,0.6,13
70,5.67,1.14,35.65,0.58,9.57,7,1.2,25
75,5.87,0.94,11.8,0.21,4.35,2,0.19,15
70,5.62,1.04,24.52,0.54,6.14,4,0.6,17
48,2.82,0.37,33.9,0.01,10.14,5,0.44,10
59,5.96,0.79,34.29,0.2,8.01,4,0.31,8
91,5.81,1.96,21.41,0.31,6.38,4,0.9,24
77,4.54,0.69,17.85,0.05,5.58,2,0.17,10
82,5.89,1.36,15.32,0.18,5.14,6,0.78,24
70,5.92,0.92,30.62,0.13,6.47,5,0.56,16
64,5.2,0.42,39.74,0.11,6.26,14,1.86,18
58,5.88,1.25,27.4,0.08,8.13,4,0.45,7
60,5.41,1.39,23.95,0.6,8.44,7,1.23,14
62,5.84,1.11,29.34,0.07,6.78,5,0.65,17
69,5.66,0.96,19.71,0.05,6.4,2,0.28,13
81,5.96,1.55,21.66,0.48,6.61,5,1.01,23
64,5.22,0.95,27.06,0.14,7.52,6,0.72,13
66,5.93,0.81,32.88,0.01,6.9,4,0.5,8
78,5.84,1.0,20.24,0.04,5.17,3,0.26,8
67,5.99,0.85,20.57,0.23,6.43,2,0.22,9
72,4.91,0.81,22.54,0.32,7.17,4,0.58,16
75,5.59,1.42,29.21,0.02,8.14,6,1.04,28
79,5.95,1.38,18.12,0.04,6.63,5,0.68,16
65,4.85,1.02,29.24,0.28,8.26,5,0.68,19
71,5.87,0.93,19.37,0.1,5.99,4,0.46,16
88,5.49,0.92,26.13,0.51,5.53,8,1.56,34
60,5.59,1.12,27.77,0.11,8.67,3,0.37,13
68,5.73,0.89,19.66,0.04,6.37,5,0.47,16
68,5.93,1.05,32.71,0.17,8.5,7,1.13,23
65,5.77,1.19,31.86,0.33,8.18,5,1.0,18
73,5.91,0.99,11.88,0.04,4.63,3,0.3,12
66,4.61,0.71,33.32,0.09,6.72,2,0.2,7
76,5.24,0.77,18.88,0.08,5.59,3,0.29,14
61,5.26,0.86,35.75,0.02,7.94,3,0.28,8
70,4.15,0.74,29.34,0.19,6.39,4,0.37,10
65,5.53,0.63,30.69,0.02,8.14,7,0.6,13
78,5.91,1.1,18.62,0.2,5.12,7,0.83,23
55,5.57,1.44,32.27,0.34,9.44,4,0.56,8
75,5.39,0.78,43.67,0.07,5.96,5,0.6,18
80,5.76,0.75,25.6,0.48,5.31,6,0.75,20
72,4.62,1.12,15.26,0.07,5.51,3,0.29,11
66,5.54,1.21,25.88,0.2,6.95,3,0.56,20
65,4.88,0.85,17.76,0.01,6.22,4,0.46,15
73,5.75,1.13,26.29,0.42,6.34,9,1.26,22
52,5.91,0.76,26.85,0.38,9.06,4,0.58,16
67,5.65,1.48,43.32,0.45,7.93,3,0.48,12
71,5.84,0.96,23.76,0.02,5.31,5,0.46,14
64,5.59,0.97,20.99,0.34,7.0,3,0.31,10
61,5.32,1.02,29.01,0.35,8.52,5,0.57,10
69,5.3,1.28,21.19,0.33,6.15,4,0.46,16
62,5.99,0.87,28.51,0.82,7.85,5,0.5,14
72,5.09,0.65,22.5,0.04,5.77,4,0.4,15
