Total Customers Served,Max Wait Time,Mean Wait Time,Max Idle Time,Min Idle Time,Mean Idle Time,Max Queue Length,Mean Queue Length,Customers Left
71,4.31,0.54,15.62,1.22,6.57,3,0.21,6
68,4.81,0.52,25.81,0.24,6.76,1,0.06,2
68,3.79,0.18,24.23,0.54,7.66,2,0.13,4
64,4.92,0.55,27.79,0.18,6.67,2,0.11,3
60,4.46,0.21,17.69,0.09,7.14,0,0.0,0
61,2.78,0.39,21.58,0.13,8.46,1,0.1,5
83,4.57,0.37,18.69,1.1,4.58,3,0.11,3
82,4.98,0.34,19.48,0.14,5.41,1,0.05,1
75,4.88,0.38,23.53,0.04,4.9,2,0.11,3
71,4.68,0.45,25.37,0.12,5.48,3,0.14,6
58,4.59,0.22,25.19,0.14,8.01,1,0.03,2
76,5.0,0.77,22.48,0.05,5.96,2,0.28,7
60,4.72,0.31,21.28,0.84,8.71,2,0.15,5
73,4.68,0.29,19.06,0.09,6.16,1,0.04,2
74,4.83,0.48,27.94,0.84,6.95,2,0.14,6
81,4.67,0.42,14.0,0.07,5.04,2,0.12,7
72,3.03,0.32,29.36,0.46,8.88,2,0.08,3
66,3.28,0.2,33.0,0.21,6.84,1,0.03,3
