Total Customers Served,Max Wait Time,Mean Wait Time,Max Idle Time,Min Idle Time,Mean Idle Time,Max Queue Length,Mean Queue Length,Customers Left
74,3.46,0.1,23.1,0.26,5.81,0,0.0,0
64,1.64,0.03,16.95,0.12,5.48,0,0.0,0
66,1.97,0.06,22.25,0.02,5.5,1,0.02,0
64,0.29,0.0,19.87,0.11,6.95,0,0.0,0
70,0.0,0.0,32.71,0.04,5.81,0,0.0,0
78,2.51,0.03,28.64,0.12,5.28,0,0.0,0
69,3.01,0.05,30.49,0.03,7.43,0,0.0,0
61,0.87,0.01,25.73,0.08,7.53,0,0.0,0
62,0.81,0.01,33.16,0.06,6.94,0,0.0,0
65,3.71,0.26,40.02,0.01,6.83,2,0.08,2
72,2.17,0.07,19.01,0.26,6.33,0,0.0,0
83,3.65,0.13,28.66,0.64,7.31,1,0.01,0
56,0.55,0.01,43.38,0.7,7.83,0,0.0,0
67,3.81,0.06,24.64,0.25,5.57,0,0.0,0
60,0.0,0.0,25.56,0.22,9.83,0,0.0,0
64,3.33,0.18,45.0,0.34,10.08,1,0.02,0
79,3.78,0.14,25.67,0.06,7.1,2,0.05,1
67,2.83,0.1,24.15,0.07,6.78,0,0.0,0
63,0.94,0.04,27.45,0.14,9.64,0,0.0,0
58,3.18,0.06,48.37,0.29,7.89,0,0.0,0
74,4.68,0.07,48.2,0.03,5.63,0,0.0,0
85,4.37,0.13,17.0,0.15,5.38,2,0.05,0
90,3.6,0.12,10.8,0.04,4.46,2,0.07,2
77,2.76,0.09,16.77,0.01,5.54,1,0.01,0
69,2.25,0.04,24.51,0.13,5.26,0,0.0,0
90,2.57,0.13,38.25,0.06,6.17,1,0.02,0
67,0.4,0.01,27.94,0.06,6.81,0,0.0,0
77,1.74,0.02,24.27,0.53,6.93,0,0.0,0
72,1.85,0.04,16.69,0.11,6.23,1,0.01,0
80,1.72,0.03,23.28,0.21,5.57,0,0.0,0
77,3.72,0.28,22.61,0.17,6.87,4,0.21,3
