SJF,Num Librarians,Total Customers Served,Max Wait Time,Mean Wait Time,Max Idle Time,Min Idle Time,Mean Idle Time,Max Queue Length,Mean Queue Length,Customers Left,Customers Arrived
True,4,99,6.73,3.35,26.97,0.04,4.79,0,0.0,0,99
False,4,126,6.73,3.45,10.31,0.09,3.22,2,0.04,0,126
True,2,120,6.98,4.18,12.5,0.23,3.64,4,0.67,13,133
False,5,127,6.73,3.39,17.16,0.06,3.94,2,0.04,0,127
False,5,145,6.73,3.38,14.71,0.13,3.74,1,0.01,0,145
True,4,141,6.73,3.44,14.09,0.02,3.41,1,0.04,0,141
True,3,96,6.83,3.6,27.86,0.64,5.11,3,0.15,1,97
False,5,110,6.73,3.37,12.42,0.19,4.01,0,0.0,0,110
True,4,118,6.73,3.42,16.18,0.05,3.91,2,0.03,0,118
False,4,124,6.73,3.47,13.93,0.29,4.72,2,0.05,0,124
False,4,126,6.73,3.42,10.96,0.4,4.77,1,0.03,0,126
True,4,127,6.73,3.36,17.34,0.36,3.41,1,0.02,0,127
True,5,124,6.73,3.35,23.34,0.07,3.77,0,0.0,0,124
True,1,75,6.81,4.92,20.46,0.03,3.49,8,1.71,35,116
False,4,116,6.73,3.37,13.97,0.04,4.04,1,0.01,0,116
