Total Customers Served,Max Wait Time,Mean Wait Time,Max Idle Time,Min Idle Time,Mean Idle Time,Max Queue Length,Mean Queue Length,Customers Left
86,3.57,0.07,28.34,0.11,4.81,0,0.0,0
69,0.0,0.0,24.34,0.02,5.81,0,0.0,0
74,0.95,0.01,22.0,0.01,5.43,0,0.0,0
70,1.88,0.09,42.47,0.03,7.69,1,0.01,0
78,0.35,0.0,24.8,0.23,7.47,0,0.0,1
57,0.0,0.0,31.88,0.36,8.06,0,0.0,0
53,1.93,0.04,47.56,0.36,11.35,0,0.0,0
72,3.42,0.17,29.34,0.15,5.34,2,0.06,0
81,0.69,0.01,23.3,0.06,6.24,1,0.01,1
63,1.19,0.02,23.55,0.01,7.3,0,0.0,0
66,4.85,0.29,25.06,0.0,6.63,2,0.08,1
71,4.48,0.29,26.56,0.05,7.17,1,0.04,1
56,0.43,0.01,30.8,0.15,7.5,0,0.0,0
71,3.76,0.2,22.97,0.19,6.32,1,0.03,0
65,2.64,0.06,24.95,0.18,7.09,0,0.0,0
63,4.48,0.16,37.11,0.22,6.57,1,0.02,0
50,0.0,0.0,38.33,0.31,9.0,0,0.0,0
73,3.97,0.1,37.49,0.17,6.28,3,0.11,3
64,3.85,0.23,24.23,0.01,7.32,1,0.03,0
66,0.0,0.0,27.64,0.28,7.36,0,0.0,0
62,0.0,0.0,32.46,0.04,7.65,0,0.0,0
66,0.0,0.0,29.88,0.14,7.04,0,0.0,0
68,3.03,0.15,33.56,0.35,7.43,1,0.03,0
55,0.0,0.0,28.5,0.83,9.53,0,0.0,0
62,4.89,0.09,30.74,0.25,7.37,0,0.0,0
66,3.93,0.07,30.46,0.01,7.78,0,0.0,0
59,1.18,0.04,26.48,0.01,9.2,0,0.0,0
61,0.0,0.0,28.74,0.08,7.93,0,0.0,0
77,2.95,0.15,25.83,0.0,7.98,1,0.01,0
53,0.3,0.01,27.78,0.17,8.45,0,0.0,0
63,0.33,0.01,29.81,0.5,7.84,0,0.0,0
78,0.37,0.0,35.8,0.04,6.08,0,0.0,0
77,2.34,0.11,26.33,0.54,5.34,1,0.01,0
73,3.11,0.15,21.34,0.02,7.07,2,0.05,1
63,1.89,0.03,31.34,0.19,7.49,0,0.0,0
60,4.4,0.17,30.82,0.11,8.81,1,0.03,0
61,0.0,0.0,29.8,0.0,6.97,0,0.0,0
86,4.6,0.18,18.88,0.1,5.95,1,0.05,0
72,2.43,0.03,37.19,0.11,6.45,0,0.0,0
62,0.0,0.0,19.87,0.1,6.31,0,0.0,0
45,0.0,0.0,47.32,0.21,10.7,0,0.0,0
75,0.0,0.0,33.07,0.11,6.36,0,0.0,0
63,2.01,0.03,46.38,0.08,6.67,0,0.0,0
67,0.0,0.0,26.9,0.06,6.3,0,0.0,0
72,0.0,0.0,17.98,0.16,5.77,0,0.0,0
68,0.12,0.0,23.43,0.31,7.39,0,0.0,0
58,2.11,0.04,33.25,0.41,6.55,0,0.0,0
78,3.21,0.05,28.76,0.51,6.93,0,0.0,0
64,2.76,0.08,31.09,0.43,8.3,1,0.02,0
77,0.32,0.0,16.84,0.06,5.4,0,0.0,0
44,0.0,0.0,31.45,0.11,11.21,0,0.0,0
58,0.0,0.0,26.89,0.27,7.92,0,0.0,0
74,1.71,0.06,20.32,0.1,6.54,1,0.01,0
64,4.88,0.4,24.59,0.13,6.52,3,0.17,0
59,3.14,0.05,33.75,0.17,8.59,0,0.0,0
64,0.0,0.0,25.28,0.08,6.9,0,0.0,0
57,0.0,0.0,32.43,0.04,7.31,0,0.0,0
57,0.0,0.0,32.32,0.51,8.83,0,0.0,0
70,0.45,0.01,47.67,0.04,7.83,0,0.0,0
80,2.13,0.05,18.54,0.06,5.78,0,0.0,0
67,0.0,0.0,24.4,0.09,7.28,0,0.0,0
47,0.0,0.0,30.98,0.0,9.68,0,0.0,0
62,0.51,0.01,47.37,0.37,8.41,0,0.0,0
57,0.19,0.0,33.45,0.12,8.58,0,0.0,0
64,0.07,0.0,34.68,0.08,6.83,0,0.0,0
67,1.63,0.02,18.05,0.21,6.58,0,0.0,0
60,4.57,0.12,25.85,0.2,6.99,1,0.02,0
72,2.51,0.1,35.72,0.02,8.88,1,0.03,1
77,2.74,0.14,16.06,0.07,4.99,1,0.03,0
79,3.79,0.1,24.33,0.27,6.21,1,0.01,0
73,2.2,0.04,37.48,0.13,6.16,0,0.0,0
73,3.87,0.06,25.46,0.25,6.14,1,0.01,1
77,3.94,0.05,26.54,0.26,6.39,2,0.06,2
64,2.87,0.06,40.82,0.16,7.47,1,0.02,0
46,4.42,0.15,30.65,0.27,11.25,1,0.02,0
59,3.92,0.11,29.06,0.21,6.86,0,0.0,0
64,0.0,0.0,19.67,0.05,6.25,0,0.0,0
57,1.3,0.03,19.85,0.52,7.23,0,0.0,0
65,0.81,0.01,49.23,0.47,7.05,0,0.0,0
70,1.42,0.04,17.94,0.18,6.97,0,0.0,0
61,2.12,0.04,29.54,0.06,7.65,0,0.0,1
63,0.0,0.0,28.86,0.01,8.07,0,0.0,0
62,0.0,0.0,33.11,0.1,7.34,0,0.0,0
63,0.0,0.0,30.47,0.21,7.15,0,0.0,0
66,0.84,0.01,37.11,0.26,7.73,0,0.0,0
67,3.33,0.14,28.43,0.36,7.28,1,0.01,0
71,4.78,0.08,24.64,0.05,6.52,1,0.01,2
69,0.61,0.01,22.9,0.18,6.94,0,0.0,0
64,3.06,0.09,18.68,0.01,7.27,0,0.0,0
59,2.19,0.04,33.42,0.03,7.65,0,0.0,0
70,2.31,0.05,23.35,0.24,6.51,0,0.0,0
58,1.22,0.03,35.57,0.67,9.48,0,0.0,0
59,1.12,0.03,38.21,0.53,9.51,0,0.0,1
82,4.47,0.11,20.36,0.26,5.57,2,0.06,2
70,0.0,0.0,18.81,0.34,6.48,0,0.0,0
62,3.83,0.12,29.81,0.18,8.73,1,0.02,0
63,0.16,0.0,41.52,0.02,7.23,0,0.0,0
76,1.26,0.02,33.02,0.04,5.31,0,0.0,0
72,2.15,0.05,27.11,0.83,7.24,3,0.08,2
60,0.0,0.0,17.52,0.3,6.18,0,0.0,0
57,1.25,0.02,18.97,1.05,7.42,0,0.0,0
68,1.93,0.06,25.56,0.01,6.38,0,0.0,0
79,2.02,0.07,21.93,0.09,5.17,0,0.0,0
68,4.11,0.11,22.02,0.5,7.41,1,0.01,1
67,3.05,0.1,31.03,0.69,7.4,1,0.01,0
61,0.97,0.03,23.48,0.46,7.11,0,0.0,0
65,1.12,0.03,39.03,0.13,8.53,0,0.0,0
70,1.0,0.02,21.98,0.69,6.67,0,0.0,0
77,4.8,0.17,22.8,0.08,6.37,2,0.04,0
64,4.8,0.17,43.31,0.02,10.13,1,0.02,0
70,2.64,0.04,17.87,0.13,6.56,0,0.0,0
59,0.08,0.0,37.97,0.74,9.15,0,0.0,0
67,0.0,0.0,23.6,0.15,7.59,0,0.0,0
67,2.25,0.06,34.93,0.17,7.81,1,0.01,0
66,0.0,0.0,26.34,0.26,6.22,0,0.0,0
64,4.33,0.12,31.35,0.1,7.0,2,0.05,1
73,0.0,0.0,42.79,0.09,7.51,0,0.0,0
59,0.0,0.0,22.39,0.04,7.19,0,0.0,0
63,3.01,0.09,23.3,0.69,8.89,0,0.0,0
75,4.49,0.23,33.43,0.27,6.58,1,0.04,1
80,4.39,0.13,18.69,0.25,6.89,1,0.01,0
69,1.69,0.02,19.2,0.22,6.42,0,0.0,0
63,0.55,0.01,32.3,0.17,6.77,0,0.0,0
56,0.0,0.0,40.75,0.15,9.33,0,0.0,0
77,4.1,0.11,26.34,0.01,7.86,1,0.03,0
70,3.63,0.07,19.14,0.27,6.36,0,0.0,0
67,0.07,0.0,29.38,0.6,6.43,0,0.0,0
61,0.0,0.0,22.62,0.14,7.71,0,0.0,0
75,3.68,0.18,22.09,0.0,6.86,3,0.13,3
70,3.84,0.15,20.01,0.08,5.46,1,0.01,0
65,2.2,0.07,27.85,0.18,5.96,1,0.02,0
49,0.08,0.0,39.04,0.36,10.58,0,0.0,0
67,0.9,0.04,21.81,0.05,6.8,0,0.0,0
66,2.72,0.04,36.45,0.0,6.2,0,0.0,0
68,2.76,0.11,30.6,0.29,7.47,1,0.01,1
78,0.0,0.0,16.98,0.21,5.11,0,0.0,0
79,0.68,0.01,26.86,0.1,5.72,0,0.0,1
52,1.51,0.03,40.27,0.07,9.37,0,0.0,0
69,1.81,0.06,26.34,0.48,6.14,0,0.0,0
65,3.4,0.15,23.16,0.63,7.23,2,0.05,1
61,3.93,0.08,29.3,0.31,7.18,0,0.0,0
60,0.0,0.0,28.43,0.15,6.39,0,0.0,0
78,4.06,0.15,28.52,0.17,6.16,1,0.03,1
66,0.23,0.0,30.34,0.01,5.17,0,0.0,0
75,0.87,0.02,26.36,0.01,6.11,0,0.0,0
68,0.89,0.01,37.63,0.08,6.75,0,0.0,0
73,1.89,0.11,29.18,0.51,6.13,1,0.01,0
64,0.0,0.0,38.63,0.1,7.27,0,0.0,1
66,0.0,0.0,17.26,0.14,6.18,0,0.0,0
